image,xmin,ymin,xmax,ymax,label,time_stamp,time_in_sec,Time,GPS_Latitude,GPS_Longitude,HD_GT_lat,HD_GT_long,est_dist_x,est_dist_y,est_angle_btwn_boun_box_cam,est_bearing_btwn_cam_obj,lat_x,long_x,lat_y,long_y,est_gps_x_diff_gt_gps,est_gps_y_diff_gt_gps,cam_est_dist_x_diff_marker_dist,cam_est_dist_y_diff_marker_dist,mapped_est_dist_y
1641594638827467309.jpg,930.4069050554871,538.6431161980879,999.8521308569667,606.5378289473683,8,1641594638827467309,1641594638,16415946388825592,33.5514111,-84.16737950000001,33.5513049,-84.1673621,5.3,5.5,3.751826447673764,5.134875461486742,33.551352,-84.167357,33.551354,-84.167357,6.9,6.7,2.7,2.5,5
1641594639976387726.jpg,965.1295179562269,541.8010350277549,1039.3094944512948,604.9589056717722,8,1641594639976387726,1641594639,16415946398702732,33.5514094,-84.16738090000001,33.5513049,-84.1673621,5.0,5.9,4.003465793533809,4.00662560377356,33.55135,-84.167358,33.551358,-84.167358,6.9,6.1,3.0,2.0999999999999996,5
1641594641206026939.jpg,965.1295179562269,532.3273508172285,1034.5745992601726,597.064144736842,8,1641594641206026939,1641594641,16415946418627422,33.5514084,-84.16737520000001,33.5513049,-84.1673621,5.3,5.7,3.7495914428165364,4.04145434005133,33.551352,-84.167358,33.551356,-84.167358,6.5,6.0,2.7,2.3,5
1641594649591956139.jpg,937.600048828125,589.600048828125,1004.800048828125,652.0000488281249,9,1641594649591956139,1641594649,16415946498541756,33.5514084,-84.1673552,33.5513049,-84.1673621,5.5,5.9,3.621121336255852,4.878132562071375,33.551354,-84.167357,33.551358,-84.167357,6.1,5.6,3.5,3.0999999999999996,5
1641594651980397914.jpg,934.40009765625,551.200048828125,1008.0,615.2000244140625,8,1641594651980397914,1641594651,16415946518718492,33.5514088,-84.1673652,33.5513049,-84.1673621,5.0,5.8,3.9745527824937534,4.878132562071375,33.55135,-84.167358,33.551357,-84.167357,6.6,5.8,3.0,2.2,5
1641594653126131937.jpg,961.9729693279902,489.69577186986015,1058.249075215783,567.0641688296669,8,1641594653126131937,1641594653,16415946538754062,33.5514069,-84.1673796,33.5513049,-84.1673621,3.9,4.8,5.1950701302699365,3.93438057440026,33.55134,-84.167359,33.551348,-84.167359,7.7,6.8,4.1,3.2,5
1641594654268252700.jpg,973.0209617755858,563.90625,1075.6104539149198,652.3273267244037,7,1641594654268252700,1641594654,16415946548640700,33.5514067,-84.1673843,33.5513049,-84.1673621,3.6,4.2,5.515730552533525,3.97735183321589,33.551337,-84.167359,33.551343,-84.167359,8.1,7.5,3.4,2.8,5
1641594655424669633.jpg,941.4550420006166,685.4852214612458,1039.3094944512948,775.4852214612458,7,1641594655424669633,1641594655,16415946558430226,33.551407,-84.1673856,33.5513049,-84.1673621,3.8,4.1,5.198618790675706,4.238059034002419,33.551339,-84.167359,33.551342,-84.167359,8.0,7.6,3.2,2.9000000000000004,5
1641594662416250582.jpg,741.0110974106043,226.01153725071956,813.6128718403207,292.32732672440375,9,1641594662416250582,1641594662,16415946628547046,33.5514121,-84.1673799,33.5513049,-84.1673621,5.1,5.6,3.684850576242538,342.8141461255952,33.551349,-84.167378,33.551353,-84.16738,7.0,6.6,3.9000000000000004,3.4000000000000004,5
1641594669395140426.jpg,991.960542540074,522.8536666067023,1062.983970406905,587.5904605263157,9,1641594669395140426,1641594669,16415946698517844,33.551405,-84.16736940000001,33.5513049,-84.1673621,5.2,5.7,3.8271712922452203,4.0161987988826615,33.551352,-84.167358,33.551356,-84.167358,6.0,5.6,3.8,3.3,5
1641594670498927530.jpg,901.9975339087547,486.5378530401932,979.3342035295932,556.0115613435444,8,1641594670498927530,1641594670,16415946708469502,33.5514072,-84.16737370000001,33.5513049,-84.1673621,4.8,5.3,4.177080668059038,353.64679472043207,33.551348,-84.167368,33.551352,-84.167368,6.6,6.2,3.2,2.7,5
1641594673940495549.jpg,894.1060900893958,442.3273508172286,969.864413147349,519.6957477770353,8,1641594673940495549,1641594673,16415946738344050,33.5514094,-84.1673825,33.5513049,-84.1673621,4.9,4.8,4.084836649934183,353.16181638461876,33.551349,-84.167368,33.551348,-84.167368,6.8,7.0,3.0999999999999996,3.2,5
1641594675167162580.jpg,957.2380741368681,402.8536184210526,1025.1048088779285,473.90625,9,1641594675167162580,1641594675,16415946758400746,33.5514064,-84.16737660000001,33.5513049,-84.1673621,5.5,5.2,3.6520547663959824,4.21832779065636,33.551354,-84.167358,33.551352,-84.167358,6.1,6.3,3.5,3.8,5
1641594679933947527.jpg,868.8532675709001,319.1694560803865,941.4550420006166,398.1167763157895,8,1641594679933947527,1641594679,16415946798469158,33.5514078,-84.16737979999999,33.5513049,-84.1673621,5.1,4.7,3.857539003893174,351.54924516273394,33.55135,-84.16737,33.551347,-84.16737,6.5,6.8,2.9000000000000004,3.3,5
1641594682228663578.jpg,717.3366214549939,364.95888157894734,812.0345252774353,458.11680040861427,7,1641594682228663578,1641594682,16415946828390948,33.5514125,-84.16738590000001,33.5513049,-84.1673621,3.9,4.0,4.903709678642554,341.9107423447181,33.551338,-84.167375,33.551339,-84.167376,8.3,8.2,3.1,3.0,5
1641594681084785665.jpg,778.8902589395808,268.64311619808797,872.0099606966708,349.16943198756167,7,1641594681084785665,1641594681,16415946818507736,33.5514112,-84.1673853,33.5513049,-84.1673621,4.0,4.6,4.83664919500714,346.21752065072604,33.55134,-84.167372,33.551345,-84.167374,8.0,7.4,3.0,2.4000000000000004,5
1641594692842059701.jpg,1021.9482602496918,521.2746710526316,1100.8631319358817,590.7483793559827,8,1641594692842059701,1641594692,16415946928264244,33.5514062,-84.16737289999999,33.5513049,-84.1673621,4.7,5.3,4.232803661659494,4.963848852296996,33.551347,-84.167358,33.551352,-84.167357,6.7,6.2,3.3,2.7,5
1641594693996112097.jpg,1066.1406635326757,500.7483793559827,1127.6943010172627,570.2220876593339,9,1641594693996112097,1641594693,16415946938344852,33.5514059,-84.1673728,33.5513049,-84.1673621,6.0,5.3,3.280136054488883,6.5602938400999475,33.551359,-84.167355,33.551352,-84.167356,5.5,6.2,3.0,3.7,5
1641594691671420607.jpg,1025.1048088779285,437.5905087119654,1099.2849298705303,510.222063566509,8,1641594691671420607,1641594691,16415946918428002,33.551405800000005,-84.16737450000001,33.5513049,-84.1673621,5.0,5.1,3.9726962456730184,4.994659151082737,33.55135,-84.167357,33.551351,-84.167357,6.4,6.3,3.0,2.9000000000000004,5
1641594695219060558.jpg,1100.800048828125,410.4,1192.000048828125,488.800048828125,9,1641594695219060558,1641594695,16415946958351536,33.551404000000005,-84.167379,33.5513049,-84.1673621,4.1,4.7,4.780253122864796,9.112174911490314,33.551341,-84.167355,33.551347,-84.167354,7.3,6.7,4.9,4.3,5
1641594697584187070.jpg,1067.7188655980272,497.5904605263157,1160.8385673551172,590.7483793559827,8,1641594697584187070,1641594697,16415946978322356,33.5514052,-84.1673878,33.5513049,-84.1673621,4.0,4.0,4.9399284982943055,7.434656807114532,33.551341,-84.167357,33.551341,-84.167357,7.7,7.7,4.0,4.0,5
1641594696409272071.jpg,1121.3810592632553,396.5378530401932,1192.4044871300864,469.1694078947368,9,1641594696409272071,1641594696,16415946968447364,33.5514042,-84.16738409999999,33.5513049,-84.1673621,5.2,5.1,3.7063918755768284,9.66647653466005,33.551351,-84.167353,33.55135,-84.167353,6.6,6.7,3.8,3.9000000000000004,5
1641594703424373948.jpg,843.6005895499384,456.53787713301807,949.3464858199753,541.8010350277549,7,1641594703424373948,1641594703,16415947038187800,33.551409,-84.1673879,33.5513049,-84.1673621,3.5,4.3,5.68402934649024,350.99998188904704,33.551336,-84.167368,33.551343,-84.167369,8.3,7.5,3.5,2.7,5
1641594704587525120.jpg,786.7818472564735,548.1168004086143,870.4316141337855,611.2746710526316,8,1641594704587525120,1641594704,16415947048232260,33.5514111,-84.1673793,33.5513049,-84.1673621,4.4,5.9,4.43970552585958,346.4375376968544,33.551343,-84.167373,33.551356,-84.167377,7.6,6.1,3.5999999999999996,2.0999999999999996,5
1641663513967749827.jpg,963.5511713933416,704.4325898822984,1040.8878410141801,769.1694560803865,10,1641663513967749827,1641663513,16416635137791564,33.543621,-84.28347289999999,33.5436081,-84.2835229,4.8,5.7,4.102951695797405,4.00662560377356,33.543651,-84.283519,33.543659,-84.283519,5.4,6.0,5.2,4.3,5
1641663532766269402.jpg,966.7078645191123,706.0115131578947,1039.3094944512948,769.1694560803865,10,1641663532766269402,1641663532,16416635327514808,33.5436231,-84.28346690000001,33.5436081,-84.2835229,5.1,5.9,3.8512360334203573,3.9963441563452897,33.543654,-84.283519,33.543661,-84.283518,5.9,6.3,4.9,4.1,5
1641663537399893717.jpg,963.5511713933416,706.0115131578947,1037.7312923859433,769.1694560803865,10,1641663537399893717,1641663537,16416635377547616,33.5436229,-84.2834675,33.5436081,-84.2835229,5.0,5.9,3.935427024486679,4.029184560961866,33.543653,-84.283519,33.543661,-84.283518,5.8,6.3,5.0,4.1,5
1641663542137162164.jpg,965.1295179562269,712.3273508172285,1037.7312923859433,775.4852214612458,10,1641663542137162164,1641663542,16416635427512624,33.543623,-84.2834681,33.5436081,-84.2835229,5.1,5.9,3.8473057114235405,4.01757315071672,33.543654,-84.283519,33.543661,-84.283518,5.8,6.3,4.9,4.1,5
1641663546850180263.jpg,958.8162762022196,693.3799823961759,1032.9963971948214,761.2746951454563,10,1641663546850180263,1641663546,16416635467511442,33.543623,-84.2834696,33.5436081,-84.2835229,5.0,5.5,3.943219516739086,4.112499351952804,33.543653,-84.283519,33.543657,-84.283519,5.7,5.9,5.0,4.5,5
1641663544512995410.jpg,965.1295179562269,707.5905087119654,1036.152945823058,772.3273026315788,10,1641663544512995410,1641663544,16416635447555122,33.5436229,-84.2834681,33.5436081,-84.2835229,5.2,5.7,3.7665220508411426,4.029184560961866,33.543655,-84.283519,33.543659,-84.283519,5.9,6.2,4.8,4.3,5
1641663548024742654.jpg,963.5511713933416,609.6957477770353,1026.6831554408138,683.9062981856496,9,1641663548024742654,1641663548,16416635487549484,33.5436227,-84.28346970000001,33.5436081,-84.2835229,5.9,5.0,3.392345790027779,4.1286099764319495,33.543661,-84.283518,33.543653,-84.283519,6.2,5.7,3.0999999999999996,4.0,5
1641663552723385002.jpg,1053.514180024661,612.8536666067023,1134.0073982737363,677.5904605263157,8,1641663552723385002,1641663552,16416635527517440,33.5436214,-84.2834688,33.5436081,-84.2835229,4.6,5.7,4.269327364798305,6.405747362093,33.543649,-84.283517,33.543659,-84.283516,5.4,6.1,3.4000000000000004,2.3,5
1641663553889128275.jpg,1149.7904304099877,680.7483793559827,1230.283648659063,745.4852455540707,8,1641663553889128275,1641663553,16416635537630318,33.543620000000004,-84.2834677,33.5436081,-84.2835229,4.6,5.7,4.117118000458303,11.413476252795189,33.543649,-84.283513,33.543658,-84.283511,5.3,5.8,3.4000000000000004,2.3,5
1641663564438215259.jpg,958.8162762022196,282.85364251387745,1031.418050631936,355.48519736842104,8,1641663564438215259,1641663564,16416635647634092,33.5436246,-84.28347690000001,33.5436081,-84.2835229,5.1,5.1,3.8431610215199314,4.1286099764319495,33.543654,-84.283519,33.543654,-84.283519,5.1,5.1,2.9000000000000004,2.9000000000000004,5
1641663566845078110.jpg,1003.0086794852035,199.16940789473682,1096.1282367447595,287.5904846191406,6,1641663566845078110,1641663566,16416635667681776,33.543620000000004,-84.2834833,33.5436081,-84.2835229,4.0,4.2,4.82582223508046,4.540902333058399,33.543644,-84.283519,33.543646,-84.283519,4.3,4.4,2.0,1.7999999999999998,5
1641663565617680806.jpg,991.960542540074,221.2746951454564,1080.345349106042,303.3799342105263,7,1641663565617680806,1641663565,16416635657638388,33.5436213,-84.2834809,33.5436081,-84.2835229,4.2,4.5,4.608503180314882,4.1731506679601695,33.543646,-84.28352,33.543648,-84.283519,4.5,4.6,2.8,2.5,5
1641663568027463622.jpg,988.8039939118373,218.11677631578945,1080.345349106042,304.95892976459703,7,1641663568027463622,1641663568,16416635687644508,33.5436207,-84.28348299999999,33.5436081,-84.2835229,4.1,4.3,4.772878984736946,4.139424686747276,33.543645,-84.28352,33.543647,-84.28352,4.4,4.5,2.9000000000000004,2.7,5
1641663570347760336.jpg,1089.8151394882861,363.37995830335115,1170.3083577373613,432.8536666067023,7,1641663570347760336,1641663570,16416635707669010,33.5436213,-84.2834749,33.5436081,-84.2835229,4.6,5.3,4.21924097384994,8.253123901092987,33.543649,-84.283516,33.543655,-84.283515,4.9,5.3,2.4000000000000004,1.7000000000000002,5
1641663569185104486.jpg,1026.6831554408138,295.4852455540707,1107.176373689889,371.2747192382812,7,1641663569185104486,1641663569,16416635697638578,33.543621699999996,-84.2834788,33.5436081,-84.2835229,4.6,4.9,4.239062282963636,5.185340700233328,33.543649,-84.283518,33.543652,-84.283518,4.7,5.0,2.4000000000000004,2.0999999999999996,5
1641663571496046633.jpg,1086.6584463625154,377.59048461914057,1175.0432529284833,443.9062740928248,6,1641663571496046633,1641663571,16416635717630742,33.5436202,-84.28347690000001,33.5436081,-84.2835229,4.2,5.6,4.637916873520912,8.29441190009572,33.543645,-84.283516,33.543658,-84.283514,4.6,5.4,1.7999999999999998,0.40000000000000036,5
1641663580822641554.jpg,1018.7917116214551,611.2746710526316,1135.5857448366216,701.2746710526316,6,1641663580822641554,1641663580,16416635807629958,33.5436159,-84.28349060000001,33.5436081,-84.2835229,3.2,4.1,6.205583706186516,5.627990545387809,33.543637,-84.28352,33.543645,-84.283519,3.6,4.2,2.8,1.9000000000000004,5
1641663583200788895.jpg,997.7119228118539,607.6240808823529,1100.9235010337698,698.9476102941177,6,1641663583200788895,1641663583,16416635837658150,33.5436165,-84.28349,33.5436081,-84.2835229,3.6,4.1,5.511844835475516,4.532834316890594,33.54364,-84.28352,33.543645,-84.283519,3.8,4.2,2.4,1.9000000000000004,5
1641663581985957234.jpg,993.7422467263957,604.9770220588235,1087.6912474155756,696.3005514705883,6,1641663581985957234,1641663581,16416635817642710,33.5436169,-84.2834886,33.5436081,-84.2835229,3.9,4.1,5.024921527575183,4.282666141827649,33.543643,-84.28352,33.543645,-84.28352,4.1,4.3,2.1,1.9000000000000004,5
