timestamp_pseudoHD,timestamp_DD,side_HD_pseudoHD,side_HD_DD,GT_side_pseudoHD_DD,GT_side_HD_DD,GT_side_HD_pseudoHD,HD_GT_lat,HD_GT_long,pseudoHD_GT_lat,pseudoHD_GT_long,DD_GT_lat,DD_GT_long,DD_prev_lat,DD_prev_long,HD_pseudoHD_GT_bearing,HD_DD_GT_bearing,angle_HD,angle_pseudoHD,angle_DD,Note,estimated_bearing_HD_pseudoHD,bearing_of_DD_from_HD_oneside,bearing_of_DD_from_HD_otherside,lat1,long1,lat2,long2,DD_latest_lat,DD_latest_long,HD_DD_est_bearing,dist_DD_GT_latlong_est_latlong,HD_pseudoHD_dist_diffs,HD_DD_dist_diffs,HD_DD_bearing_diffs
4084812,4161784,5.1,5.2,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,56.8,62.63,60.57,,210,153.2,266.8,33.918933,-84.278994,33.918972,-84.279075,33.918933,-84.278994,153.2,0.6,0.5,0.39999999999999947,3.8000000000000114
4085375,4162342,4.7,5.7,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.21,72.81,51.98,,210,154.79,265.21,33.918929,-84.278993,33.918971,-84.279081,33.918929,-84.278993,154.79,0.2,0.8999999999999995,0.10000000000000053,2.210000000000008
4085930,4162909,5.4,5.9,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,51.16,69.7,59.14,,210,158.84,261.15999999999997,33.918926,-84.278996,33.918967,-84.279082,33.918926,-84.278996,158.84,0.2,0.1999999999999993,0.3000000000000007,1.8400000000000034
4086502,4163479,5.2,4.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,60.71,51.55,67.75,,210,149.29,270.71,33.918941,-84.278995,33.918975,-84.279067,33.918941,-84.278995,149.29,1.4,0.39999999999999947,1.1999999999999993,7.710000000000008
4087052,4164049,5.2,5.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.03,64.56,60.41,,210,154.97,265.03,33.918931,-84.278994,33.918971,-84.279077,33.918931,-84.278994,154.97,0.3,0.39999999999999947,0.1999999999999993,2.030000000000001
4087612,4164627,5.2,4.2,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,61.76,49.03,69.21,,210,148.24,271.76,33.918943,-84.278995,33.918976,-84.279064,33.918943,-84.278995,148.24,1.7,0.39999999999999947,1.3999999999999995,8.759999999999991
4088195,4165181,5.3,4.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,59.33,52.18,68.49,,210,150.67000000000002,269.33,33.91894,-84.278995,33.918975,-84.279068,33.91894,-84.278995,150.67000000000002,1.3,0.2999999999999998,1.0999999999999996,6.329999999999984
4088767,4165755,3.9,5.1,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,64.37,69.78,45.85,,210,145.63,274.37,33.918937,-84.278988,33.918978,-84.279074,33.918937,-84.278988,145.63,1.2,1.6999999999999997,0.5,11.370000000000005
4089337,4166307,5.2,5.7,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.19,68.64,58.17,,210,156.81,263.19,33.918928,-84.278995,33.918969,-84.27908,33.918928,-84.278995,156.81,0.0,0.39999999999999947,0.10000000000000053,0.18999999999999773
4089915,4166876,5.2,5.9,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,51.93,71.42,56.66,,210,158.07,261.93,33.918926,-84.278995,33.918968,-84.279082,33.918926,-84.278995,158.07,0.2,0.39999999999999947,0.3000000000000007,1.0699999999999932
4090467,4167440,5.3,5.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.92,65.12,60.95,,210,156.07999999999998,263.92,33.91893,-84.278995,33.91897,-84.279078,33.91893,-84.278995,156.07999999999998,0.2,0.2999999999999998,0.09999999999999964,0.9200000000000159
4091035,4168016,5.2,5.2,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,56.22,61.89,61.89,,210,153.78,266.22,33.918933,-84.278994,33.918972,-84.279075,33.918933,-84.278994,153.78,0.6,0.39999999999999947,0.39999999999999947,3.219999999999999
4091610,4168562,5.4,5.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.42,64.34,62.25,,210,156.57999999999998,263.42,33.91893,-84.278995,33.918969,-84.279078,33.91893,-84.278995,156.57999999999998,0.2,0.1999999999999993,0.09999999999999964,0.4200000000000159
4092181,4169131,5.1,5.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.55,65.33,59.12,,210,154.45,265.55,33.918931,-84.278994,33.918971,-84.279077,33.918931,-84.278994,154.45,0.3,0.5,0.1999999999999993,2.5500000000000114
4092753,4169683,5.3,4.6,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,58.83,53.44,67.74,,210,151.17000000000002,268.83,33.918939,-84.278995,33.918974,-84.279069,33.918939,-84.278995,151.17000000000002,1.2,0.2999999999999998,1.0,5.829999999999984
4093326,4170258,5.3,5.4,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,54.5,63.79,61.71,,210,155.5,264.5,33.918931,-84.278995,33.91897,-84.279077,33.918931,-84.278995,155.5,0.3,0.2999999999999998,0.1999999999999993,1.5
4093903,4170829,5.2,5.6,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.81,67.27,58.92,,210,156.19,263.81,33.918929,-84.278994,33.91897,-84.279079,33.918929,-84.278994,156.19,0.1,0.39999999999999947,0.0,0.8100000000000023
4094470,4171401,5.2,4.7,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,59.08,55.37,65.56,,210,150.92000000000002,269.08,33.918938,-84.278994,33.918974,-84.27907,33.918938,-84.278994,150.92000000000002,1.1,0.39999999999999947,0.8999999999999995,6.079999999999984
4095041,4171975,5.0,6.2,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,50.51,77.54,51.95,,210,159.49,260.51,33.918923,-84.278995,33.918966,-84.279085,33.918923,-84.278995,159.49,0.6,0.5999999999999996,0.6000000000000005,2.490000000000009
4095614,4172549,5.0,5.1,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,58.03,62.01,59.96,,210,151.97,268.03,33.918935,-84.278993,33.918973,-84.279074,33.918935,-84.278993,151.97,0.8,0.5999999999999996,0.5,5.030000000000001
4096187,4173150,4.7,5.6,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.99,71.34,52.67,,210,154.01,265.99,33.91893,-84.278992,33.918971,-84.27908,33.91893,-84.278992,154.01,0.4,0.8999999999999995,0.0,2.990000000000009
4096763,4173721,5.3,5.3,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.07,62.47,62.47,,210,154.93,265.07,33.918932,-84.278995,33.918971,-84.279076,33.918932,-84.278995,154.93,0.4,0.2999999999999998,0.2999999999999998,2.069999999999993
4097334,4174294,5.1,5.3,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,56.18,63.97,59.85,,210,153.82,266.18,33.918932,-84.278994,33.918972,-84.279076,33.918932,-84.278994,153.82,0.5,0.5,0.2999999999999998,3.180000000000007
4097909,4174865,5.3,5.6,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.34,66.47,60.19,,210,156.66,263.34000000000003,33.918929,-84.278995,33.918969,-84.279079,33.918929,-84.278995,156.66,0.1,0.2999999999999998,0.0,0.3400000000000034
4098484,4175437,5.2,5.7,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,53.19,68.64,58.17,,210,156.81,263.19,33.918928,-84.278995,33.918969,-84.27908,33.918928,-84.278995,156.81,0.0,0.39999999999999947,0.10000000000000053,0.18999999999999773
4099057,4176012,5.2,2.7,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,68.44,30.83,80.74,,210,141.56,278.44,33.918956,-84.279001,33.918979,-84.279048,33.918956,-84.279001,141.56,3.2,0.39999999999999947,2.8999999999999995,15.439999999999998
4099635,4176583,5.2,4.9,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,57.95,57.95,64.09,,210,152.05,267.95,33.918936,-84.278994,33.918973,-84.279072,33.918936,-84.278994,152.05,0.9,0.39999999999999947,0.6999999999999993,4.949999999999989
4100208,4177153,5.2,5.5,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,54.42,65.91,59.67,,210,155.57999999999998,264.42,33.91893,-84.278994,33.91897,-84.279078,33.91893,-84.278994,155.57999999999998,0.2,0.39999999999999947,0.09999999999999964,1.420000000000016
4100785,4177734,5.2,4.6,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,59.63,54.09,66.29,,210,150.37,269.63,33.918939,-84.278994,33.918975,-84.279069,33.918939,-84.278994,150.37,1.2,0.39999999999999947,1.0,6.6299999999999955
4101362,4178308,5.3,5.2,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,55.63,61.15,63.22,,210,154.37,265.63,33.918933,-84.278995,33.918971,-84.279075,33.918933,-84.278995,154.37,0.6,0.2999999999999998,0.39999999999999947,2.6299999999999955
4101938,4178882,5.2,4.8,4.9,5.6,5.6,33.918975,-84.279019,33.918931,-84.279049,33.918928,-84.278995,33.918966,-84.278982,210,157,58.52,56.66,64.83,,210,151.48,268.52,33.918937,-84.278994,33.918974,-84.279071,33.918937,-84.278994,151.48,1.0,0.39999999999999947,0.7999999999999998,5.52000000000001
